,adversary,target,technique,publish date,motive,interesting_insight
951,Unknown,University of East Anglia's Climatic Research Unit,Email hacking,November 2009,To undermine the Copenhagen climate talks,"The vice-chairman of the United Nations’ Intergovernmental Panel on Climate Change, Jean-Pascal van Ypersele, ascribed the hacking to Russia"
952,Ehud Tenenbaum,U.S. banks,Hacking into DOD computers,August 2009,Stealing $10 million,"Tenenbaum was known for hacking into DOD computers in 1998, which resulted in a sentence of six months of community service from an Israeli court."
953,Albert Gonzalez and unidentified Russian or Ukrainian colleagues,computer systems of five major companies,hacking,August 2009,steal more than 130 million credit and debit cards,This was the largest hacking and identity theft crime in U.S. history
954,China and Russia,German companies,espionage efforts and Internet attacks,June 2009,Unknown,German Interior Minister Wolfgang Schaeuble noted the increase in attacks when presenting the Interior Ministry's 2008 security report
955,Unknown,The John Hopkins University’s Applied Physics Laboratory,Unknown,June 2009,Unknown,The laboratory does classified research for the Department of Defense and NASA
956,unknown intruders,The Homeland Security Information Network (HSIN),getting into the HSIN account of a federal employee or contractor,May 2009,Unknown,"The bulk of the data obtained was federal, but some state information was also accessed"
957,Unknown,Merrick Bank,Unknown,May 2009,Unknown,Merrick Bank claimed it lost $16 million after hackers compromised as many as 40 million credit card accounts.
958,Chinese hackers,South Korea’s Finance Ministry,virus attached to e-mails claiming to be from trusted individuals,April 2009,,
959,hacker from Taiwan,Chinese State Council computer,Unknown,April 2009,Unknown,The computer contained drafts of Prime Minister Wen Jiabao's report to the National Peoples Congress
960,unknown foreign intruders,"U.S. power grid, F-35 databases",cyberattack,April 2009,Unknown,Wall Street Journal articles highlighted the increasing vulnerability of the U.S. power grid to cyberattack
961,Unknown,"Plans for Marine Corps 1, the new presidential helicopter",File-sharing network,March 2009,Unknown,The plans were found in Iran
962,China,government networks of 103 countries,computer espionage system,March 2009,Unknown,Canadian researchers found the system
963,Unknown,German government,Offering a free version of the new Microsoft operating system that installs Trojans,March 2009,Unknown,The hackers were offering a free version of the new Microsoft operating system that installs Trojans
964,Chinese hackers,Office of Senator Bill Nelson in Florida,stole information,March 2009,Unknown,Unknown
965,Chinese hackers,Coca-Cola Co.,infiltrated computer networks,March 2009,"stole trade secret information, including information related to the attempted $2.4 billion acquisition of Huiyuan Juice Group",
966,Unknown,French naval aircraft planes,Confickr virus,February 2009,Unknown,Naval officials suspected someone in the Navy had used an infected USB key
967,Unknown,600 computers at India’s Ministry of External Affairs,Unknown,February 2009,Unknown,Unknown
968,Unknown,FAA computer systems,Hacking,February 2009,Intentional disruption of commercial air traffic,Increased use by FAA of IP-based networks also increases the risk of the attack
969,Pakistani hackers,popular music download sites used by Indians,placed malware,January 2009,preparation for cyberattacks,Indian Home Ministry officials warned
970,a criminal organization from the former Soviet Union,"Israel’s internet infrastructure, government websites","attack executed by at least 5,000,000 computers",January 2009,military offensive in the Gaza Strip,Israeli officials believed the attack was paid for by Hamas or Hezbollah
971,Chinese hackers,Britain’s MPs,e-mails apparently sent by the European Parliament,2008,to implant viruses,
972,unknown foreign intruders,CSIS,Unknown,December 2008,Assumption that some CSIS staff would go into the new administration and interest in reading their emails beforehand,Even tiny CSIS was targeted for hacking
973,Maksym Yastremskiy,Retail giant TJX,Unknown,December 2008,Financial gain,The hacker is said to have made $11 million from the hack
974,unknown foreign intruders,Classified networks at DOD and CENTCOM,Unknown,November 2008,Unknown,It took several days to dislodge the intruders and re-secure the networks
975,Unknown,Royal Bank of Scotland’s WorldPay,Breaching networks and cloning ATM cards,November 2008,Financial gain,The hackers were able to withdraw over $9 million dollars from machines in 49 cities
976,Chinese hackers,computer networks of three major oil companies,infiltration,November 2008,steal trade secret information,
977,Chinese hackers,networks of Barack Obama and John McCain’s presidential campaigns,infiltration and exfiltration,November 2008,information about future policy agendas,
978,Chinese hackers,the computer network of the White House,infiltration,November 2008,obtain emails between senior government officials,
979,Unknown,Credit card readers in UK supermarkets,Supply chain attack with a wireless device,October 2008,Financial gain,"The device could be instructed to collect only certain kinds of cards (such as gold cards), or to go dormant to evade detection."
980,unknown foreign intruders,Computer networks in Georgia,hacking,August 2008,put political pressure on the Georgian government,The hacks were coordinated with Russian military
981,Unknown,"Marathon Oil, ExxonMobil, and ConocoPhillips",Unknown,Summer 2008,Unknown,"The companies lost data detailing the quantity, value, and location of oil discoveries around the world. One company put the losses in the millions."
982,unknown foreign intruders,databases of both Republican and Democratic presidential campaigns,hacked and downloaded,Summer 2008,Unknown,Both Republican and Democratic campaigns were targeted
983,unknown foreign intruders,networks of several Congressional offices,hacking,June 2008,Unknown,Some infiltrations involved offices with an interest in human rights in Tibet
984,China,India’s official networks,scanning and mapping,May 2008,to gain access to content in order to plan how to disable or disrupt networks during a conflict,The Times of India reported that an Indian official accused China of hacking into government computers
985,China,Belgian governmental computer networks,Unknown,May 2008,Unknown,Belgium’s Justice Minister accused China of the hacking
986,Germany’s BND,Afghanistan's Commerce Minister and Ministry of Commerce and Industry networks,gaining access to internal email accounts and exfiltrating documents,April 2008,,
987,a Shanghai-based hacker group linked to the People’s Liberation Army’s Third Department,an unspecified (U.S. government) agency,"stole “50 megabytes of email messages and attached documents, as well as a complete list of usernames and passwords",April – October 2008,Unknown,The information about the attack was made public by WikiLeaks
988,Unknown,"American, European, and Japanese companies",criminal and industrial espionage in cyberspace,March 2008,Stealing intellectual property and business information,Details cannot be provided in an unclassified setting
